test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,superpoint_lightglue,962,962,0.06,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,orb,1044,1058,0.19,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,superpoint_lightglue,1520,1521,0.05,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,orb,584,602,0.17,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,superpoint_lightglue,1120,1122,0.07,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,orb,270,281,0.80,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,superpoint_lightglue,791,793,0.17,1
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,orb,1864,1864,0.00,1
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,orb,1206,1241,0.17,1
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,superpoint_lightglue,1867,1867,0.03,1
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,orb,983,1048,0.32,1
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,superpoint_lightglue,1705,1705,0.03,1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,orb,911,960,0.27,1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,superpoint_lightglue,1376,1376,0.01,1
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,orb,748,760,0.37,1
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,superpoint_lightglue,1115,1115,0.04,1
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,orb,408,418,0.21,1
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,superpoint_lightglue,875,875,0.13,1
spatial_overlap,donbas_rural.jpg,dx0_dy64,0,64,orb,1394,1480,0.11,1
spatial_overlap,donbas_rural.jpg,dx0_dy64,0,64,superpoint_lightglue,1673,1673,0.02,1
spatial_overlap,donbas_rural.jpg,dx0_dy128,0,128,orb,1236,1299,0.29,1
spatial_overlap,donbas_rural.jpg,dx0_dy128,0,128,superpoint_lightglue,1387,1388,0.02,1
spatial_overlap,donbas_rural.jpg,dx0_dy256,0,256,orb,343,359,0.20,1
spatial_overlap,donbas_rural.jpg,dx0_dy256,0,256,superpoint_lightglue,998,998,0.05,1
spatial_overlap,donbas_rural.jpg,dx64_dy64,64,64,orb,957,1012,0.87,1
spatial_overlap,donbas_rural.jpg,dx64_dy64,64,64,superpoint_lightglue,1453,1453,0.02,1
spatial_overlap,donbas_rural.jpg,dx128_dy128,128,128,orb,558,703,1.02,1
spatial_overlap,donbas_rural.jpg,dx128_dy128,128,128,superpoint_lightglue,1047,1048,0.03,1
spatial_overlap,donbas_rural.jpg,dx192_dy192,192,192,orb,280,290,1.55,1
spatial_overlap,donbas_rural.jpg,dx192_dy192,192,192,superpoint_lightglue,787,787,0.09,1
spatial_overlap,izyum_fields.jpg,dx0_dy0,0,0,orb,1958,1958,0.00,1
spatial_overlap,izyum_fields.jpg,dx0_dy0,0,0,superpoint_lightglue,1795,1795,0.00,1
spatial_overlap,izyum_fields.jpg,dx32_dy0,32,0,orb,1199,1427,0.60,1
spatial_overlap,izyum_fields.jpg,dx32_dy0,32,0,superpoint_lightglue,1634,1635,0.02,1
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,orb,1202,1238,0.10,1
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,superpoint_lightglue,1530,1531,0.03,1
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,orb,980,1000,0.12,1
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,superpoint_lightglue,1266,1267,0.04,1
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,orb,746,771,0.24,1
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,superpoint_lightglue,1024,1025,0.08,1
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,orb,453,488,0.63,1
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,superpoint_lightglue,767,768,0.10,1
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,orb,1141,1157,0.13,1
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,superpoint_lightglue,1545,1545,0.03,1
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,orb,644,656,0.07,1
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,superpoint_lightglue,1337,1337,0.03,1
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,orb,241,257,0.22,1
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,superpoint_lightglue,881,881,0.08,1
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,orb,862,995,0.45,1
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,superpoint_lightglue,1311,1312,0.05,1
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,orb,418,433,0.31,1
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,superpoint_lightglue,901,902,0.06,1
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,orb,208,217,1.92,1
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,superpoint_lightglue,582,586,0.20,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,orb,1308,1459,0.29,1
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,superpoint_lightglue,1884,1884,0.01,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,orb,1271,1309,0.20,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,superpoint_lightglue,1744,1744,0.02,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,orb,984,1002,0.18,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,superpoint_lightglue,1483,1483,0.02,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,orb,749,762,0.22,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,superpoint_lightglue,1286,1286,0.02,1
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,orb,537,547,0.27,1
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,superpoint_lightglue,1055,1055,0.04,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,orb,1311,1362,0.29,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,superpoint_lightglue,1795,1796,0.03,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,orb,996,1118,0.18,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,superpoint_lightglue,1541,1542,0.01,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,orb,548,561,0.37,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,superpoint_lightglue,1006,1007,0.09,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,orb,983,1017,0.36,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,superpoint_lightglue,1542,1543,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,orb,650,699,0.52,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,superpoint_lightglue,1128,1129,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,orb,389,404,0.95,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,superpoint_lightglue,817,821,0.06,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,orb,1472,1515,0.18,1
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,superpoint_lightglue,1896,1896,0.02,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,orb,1127,1327,0.43,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,superpoint_lightglue,1788,1788,0.02,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,orb,732,808,0.12,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,superpoint_lightglue,1560,1560,0.04,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,orb,541,551,0.16,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,superpoint_lightglue,1285,1285,0.07,1
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,orb,316,328,0.16,1
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,superpoint_lightglue,1010,1012,0.12,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,orb,1235,1434,0.50,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,superpoint_lightglue,1758,1759,0.03,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,orb,1133,1266,0.16,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,superpoint_lightglue,1480,1482,0.03,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,orb,508,649,0.72,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,superpoint_lightglue,945,946,0.06,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,orb,1000,1034,0.30,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,superpoint_lightglue,1546,1546,0.06,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,orb,418,439,0.36,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,superpoint_lightglue,1113,1113,0.12,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,orb,216,231,1.64,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,superpoint_lightglue,729,729,0.29,1
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,superpoint_lightglue,720,720,0.00,1
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,orb,1441,1470,0.06,1
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,superpoint_lightglue,667,667,0.03,1
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,orb,1374,1409,0.19,1
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,superpoint_lightglue,645,645,0.02,1
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,orb,1272,1297,0.11,1
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,superpoint_lightglue,589,589,0.04,1
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,orb,1040,1064,0.33,1
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,superpoint_lightglue,547,547,0.05,1
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,orb,611,636,0.33,1
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,superpoint_lightglue,484,484,0.12,1
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,orb,1396,1425,0.17,1
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,superpoint_lightglue,555,555,0.03,1
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,orb,1231,1256,0.20,1
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,superpoint_lightglue,455,455,0.04,1
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,orb,508,518,0.55,1
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,superpoint_lightglue,315,315,0.04,1
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,orb,1170,1187,0.24,1
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,superpoint_lightglue,486,486,0.06,1
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,orb,962,980,0.51,1
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,superpoint_lightglue,358,359,0.12,1
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,orb,647,657,0.51,1
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,superpoint_lightglue,272,274,0.15,1
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,orb,1384,1406,0.10,1
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,superpoint_lightglue,1895,1896,0.01,1
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,orb,1304,1335,0.06,1
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,superpoint_lightglue,1780,1781,0.02,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,orb,1028,1036,0.07,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,superpoint_lightglue,1508,1508,0.02,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,orb,726,736,0.11,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,superpoint_lightglue,1243,1243,0.03,1
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,orb,472,479,0.20,1
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,superpoint_lightglue,988,990,0.03,1
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,orb,1350,1371,0.13,1
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,superpoint_lightglue,1769,1770,0.02,1
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,orb,962,1080,0.40,1
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,superpoint_lightglue,1531,1531,0.02,1
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,orb,575,580,0.10,1
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,superpoint_lightglue,1006,1006,0.06,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,orb,1031,1049,0.19,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,superpoint_lightglue,1537,1539,0.04,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,orb,587,604,0.53,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,superpoint_lightglue,1143,1143,0.09,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,orb,334,342,0.49,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,superpoint_lightglue,774,774,0.14,1
